,Name,Author,Link,Category,The Specific Category,State,Description
1,灵境行者,卖报小郎君,//book.qidian.com/info/1031940621,科幻,进化变异,连载,亘古通今，传闻世有灵境。关于灵境的说法，历朝历代的名人雅士众说纷纭，诗中记载：“自齐至唐，兹山濅荒，灵境寂寥，罕有人游。”“灵境不可状，鬼工谅难求。”
2,夜的命名术,会说话的肘子,//book.qidian.com/info/1021617576,都市,异术超能,连载,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。
3,明克街13号,纯洁滴小龙,//book.qidian.com/info/1030870265,都市,异术超能,连载,我喜欢坐在夜晚空无一人的大街上，听着“他们”的窃窃私语，享受着“他们”的喧嚣。
4,什么叫六边形打野啊,这很科学啊,//book.qidian.com/info/1031785579,游戏,电子竞技,连载,{英雄联盟电竞文}团战、Gank、视野、操作、意识、英雄池……全部拉满！顾行用职业生涯诠释着，什么叫六边形打野！……18岁的顾行意外发现了自己的独特天赋，他原本只想利用暑期空闲时间赚点生活费，缓解一下家里的经济压力，却阴差阳错一头扎进了2016年的LPL。联赛内有横扫一切的EDG，异军突起的RNG，重组2.0版本的WE……联赛外强敌环伺，连续3年夺冠的LCK气势如虹，还在延续自己的宰治，欧美赛区蠢蠢欲动试图翻身，LPL依旧行走在漫无边际的黑暗中。但来都来了。在顾行踏上职业道路的这一刻开始，目标就只有冠军！从懵懂新人到队伍领袖，再到赛区乃至英雄联盟的标志，他一步步迈上巅峰！
5,这游戏也太真实了,晨星LL,//book.qidian.com/info/1029391348,轻小说,原生幻想,连载,这游戏也太真实了叭！搬砖、跑腿、捡垃圾、送快递……公司最多能让你体会到996的艰辛，在这里你能体会到超级加倍的007。好了，不废话了，伟大的管理者大人喊我去搬砖了。那位大人说了，只要我们努力献上自己的肝，下个月他又能换一套全新的动力甲，到时候带我们开全新的地图，去广阔的废土捡更多的垃圾！……穿越到废土世界的楚光发现，自己解锁了避难所系统，能够从平行世界召唤名为“玩家”的生物。从那天开始，整个废土都不正经了。
6,深空彼岸,辰东,//book.qidian.com/info/1027339371,都市,异术超能,连载,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？——————书友群见书友圈置顶帖。
7,不科学御兽,轻泉流响,//book.qidian.com/info/1029006481,玄幻,异世大陆,连载,这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被统称为御兽师！神话学者兼考古学家时宇穿越而来，为了探寻空白的历史与失落的神话，他选择踏上了一条极为不科学的御兽之路…
8,我已不做大佬好多年,萌俊,//book.qidian.com/info/1030846729,都市,都市生活,连载,这是一个梦已远，却梦回八零的故事。不是打打杀杀，是人情世故。我的名，张国宾！我已不做大佬好多年。
9,家父汉高祖,历史系之狼,//book.qidian.com/info/1032822816,历史,秦汉三国,连载,一个伟大的帝国刚刚诞生，新的时代即将到来。刘长也曾想过要不要争一争那大位，由自己来率领这个崭新的帝国，可是他看了看自己的周围，刘邦，吕后，刘盈，刘恒...嗯，活着不好吗？于是乎，刘长戴上了穿越者之耻的帽子，开始了混吃等死的咸鱼生活。又名《我愚蠢的欧豆豆》，《这娃其实是项羽的吧？》，《跟你这样的虫豸怎么能治好大汉》等等。
10,是你们逼我成巨星的,巫马行,//book.qidian.com/info/1032679589,都市,都市生活,连载,那一年……刚拿到驾照的老实人周洋撞坏了草台班子剧组的摄像机，身无分文的他只能卖身到剧组打零工。原本以为干活干到电影拍完，自己就能重获自由。然而！！！当诈骗犯导演带着副导演跑了，而自己则差点被长腿美女投资人当成诈骗同伙以后，老实人周洋傻眼了。“我顶上？我拿什么顶？”“天，我学的专业是电子信息技术，我就是一接电线的，我对拍电影一窍不通啊……”“……”
11,星门,老鹰吃小鸡,//book.qidian.com/info/1027669580,玄幻,高武世界,完本,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！
12,择日飞升,宅猪,//book.qidian.com/info/1032778366,仙侠,幻想修仙,连载,作为捕蛇者，许应一直老老实实勤恳本分，直到这一天，他捉到一条不一样的蛇……三月初一，神州大地，处处香火袅袅，守护着各个村落、乡镇、城郭、州郡的神像纷纷苏醒，享受黎民百姓的祭祀。然而，从这一天开始，天下已乱。本书又名《九九六修仙》《零零七也修真》《内卷》《卷到死》《谁TM也别想飞升》《好坑》《坑大坑深》《扶我起来》《三十五岁那年，我的福报来了》及《许大妖王现形记》等！
13,我家娘子，不对劲,一蝉知夏,//book.qidian.com/info/1032982789,轻小说,原生幻想,连载,一觉醒来。洛青舟成了大炎帝国成国府洛家的一个小小庶子。为帮洛家二公子悔婚，洛青舟被迫入赘，娶了一个据说不会说话不会笑的傻子新娘。直到拜完天地，洞房花烛夜后，他才突然发现：“我家娘子，不对劲！”岂止娘子不对劲，就连娘子身边的两个小侍女和秦府其他人，都不对劲！大侍女甜美娇俏爱撩人，声如百灵鸟；小侍女冷若冰雪杀气重，出剑即封喉。小姨子才华横溢，是个如林黛玉般柔弱娇美的人儿。小表姐高傲蛮横，鞭鞭致命。岳父大人满脸正经，暗地里出口成脏。岳母大人貌美如花，眼生头顶爱翻白眼。二哥一心练武，说要光宗耀祖。而洛青舟，他只想老老实实做个小赘婿，然后偷偷摸摸，天下无敌……
